0,1,2,3
衡阳-广州,11113.256800000001,3723.9676,route_1
武汉-广州,35014.1174,11394.458200000001,route_1
武汉-常州,4486.028,9375.3446,route_1
武汉-长沙,23212.9292,16983.9736,route_1
武汉-郑州,15858.0964,19091.228800000004,route_1
武汉-贵阳,11890.728000000001,1248.0958,route_1
郑州-天津,15073.599000000002,5224.2754,route_1
郑州-济南,23854.618000000002,12311.383600000001,route_1
郑州-中山,8300.0536,2614.6764000000003,route_1
郑州-北京,27269.574600000004,4681.6094,route_1
洛阳-济南,6676.8554,3507.0698,route_1
洛阳-广州,9278.1068,2274.3006000000005,route_1
漯河-广州,6636.6424,2756.3172000000004,route_1
郑州-沈阳,18461.6584,3072.818,route_1
郑州-长春,14004.7068,1987.6646000000003,route_1
郑州-长沙,17664.393000000004,12375.8436,route_1
郑州-兰州,8055.5248,635.6916,route_1
广州-昆明,7842.259,6084.5008,route_1
广州-乌鲁木齐,12873.997400000002,1738.3980000000001,route_1
贵阳-广州,3236.8116,8337.1056,route_1
成都-合肥,3394.3046,15556.8898,route_1
昆明-成都,5378.4834,8309.058200000001,route_1
北京-上海,4986.9884,12136.184000000001,route_1
北京-天津,5342.760200000001,13572.4038,route_1
北京-长沙,3910.5296000000003,15144.063600000001,route_1
北京-郑州,4681.6094,27269.574600000004,route_1
南京-上海,21706.1208,6817.1674,route_1
南通-上海,17369.9896,2522.6400000000003,route_1
合肥-深圳,8314.4058,1283.038,route_1
蚌埠-上海,9541.6488,2175.3546,route_1
济南-合肥,5435.9246,14095.513400000002,route_1
济南-兰州,8137.1112,680.821,route_1
金华-重庆,10739.9616,2014.175,route_1
重庆-上海,8952.0462,5618.081,route_1
郑州-苏州,9145.733400000001,4853.129800000001,route_1
广州-苏州,4529.588,9039.2504,route_1
广州-衡阳,3723.9676,11113.256800000001,route_1
广州-东莞,9680.1286,17138.511,route_1
成都-南京,3671.2642,12312.960400000002,route_1
南宁-北京,7721.2480000000005,2439.7470000000003,route_1
义乌-嘉兴,7718.719000000001,631.6182,route_1
上海-北京,12136.184000000001,4986.9884,route_1
上海-成都,10363.508200000002,11374.627,route_1
义乌-太原,14043.226400000001,178.083,route_1
义乌-侯马,8059.6898,107.36300000000001,route_1
义乌-常州,9544.423,825.8162,route_1
义乌-郑州,32957.4752,1484.5324,route_1
义乌-洛阳,9986.705,467.74120000000005,route_1
义乌-成都,21590.177000000003,717.2012,route_1
义乌-西安,20133.8632,1285.6586,route_1
上海-温州,3563.8392,8514.6926,route_1
上海-重庆,5618.081,8952.0462,route_1
义乌-苏州,18198.755800000003,802.7916,route_1
义乌-南通,6699.161,895.1528000000001,route_1
义乌-临沂,7873.9088,135.3882,route_1
义乌-泉州,9181.084600000002,652.533,route_1
深圳-上海,3666.9502,7635.679800000001,route_1
保定-北京,7481.161800000001,1214.1502000000003,route_1
无锡-苏州,6751.725600000001,4594.3256,route_1
常州-徐州,5969.4546,7118.202800000001,route_1
金华-温州,11995.500000000002,3385.052,route_1
