收寄城市,寄达城市,委办_40t,委办_20t,委办_12t,自办_40t,自办_20t,自办_12t,邮路总条数,邮路总长度,城市间距离,车辆成本,大小边标记
北京,北京,,,,,,,,,,,
北京,天津,0.0,0.0,0.0,2.0,0.0,0.0,2.0,232.0,116.0,1921.8879999999997,小
北京,石家庄,0.0,0.0,0.0,1.0,0.0,1.0,2.0,632.0,316.0,4401.248,小
北京,唐山,0.0,0.0,0.0,3.0,0.0,0.0,3.0,591.0,197.0,4895.844,大
北京,廊坊,0.0,0.0,0.0,0.0,2.0,0.0,2.0,94.0,47.0,597.2760000000001,小
北京,保定,0.0,0.0,0.0,1.0,0.0,0.0,1.0,170.0,170.0,1408.28,小
北京,太原,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1575.0,525.0,15274.35,小
北京,侯马,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1642.0,821.0,18320.614999999998,大
北京,呼和浩特,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1521.0,507.0,11455.158,小
北京,包头,2.0,0.0,0.0,0.0,1.0,0.0,3.0,2049.0,683.0,25176.746,大
北京,沈阳,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1380.0,690.0,12051.539999999999,小
北京,大连,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1672.0,836.0,20268.82,大
北京,锦州,1.0,0.0,0.0,0.0,1.0,0.0,2.0,940.0,470.0,10488.05,大
北京,长春,0.0,1.0,0.0,0.0,2.0,0.0,3.0,2943.0,981.0,26671.428,大
北京,哈尔滨,1.0,0.0,0.0,1.0,1.0,0.0,3.0,3723.0,1241.0,39728.132999999994,大
北京,上海,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1214.0,1214.0,11773.372,小
北京,南京,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1010.0,1010.0,9794.98,小
北京,常州,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1094.0,1094.0,10609.612000000001,小
北京,无锡,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2230.0,1115.0,20465.824999999997,大
北京,苏州,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2314.0,1157.0,21236.735,大
北京,徐州,0.0,0.0,0.0,0.0,0.0,1.0,1.0,694.0,694.0,4898.252,小
北京,连云港,0.0,0.0,0.0,0.0,1.0,0.0,1.0,736.0,736.0,5717.2480000000005,大
北京,淮安,0.0,0.0,0.0,0.0,0.0,1.0,1.0,870.0,870.0,6140.460000000001,大
北京,盐城,0.0,0.0,0.0,1.0,0.0,0.0,1.0,935.0,935.0,9067.63,大
北京,扬州,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1010.0,1010.0,7845.679999999999,大
北京,南通,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1091.0,1091.0,8474.887999999999,大
北京,杭州,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2582.0,1291.0,19140.366,小
北京,湖州,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1208.0,1208.0,8526.064,大
北京,嘉兴,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1254.0,1254.0,12161.292,大
北京,宁波,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1402.0,1402.0,10890.735999999999,大
北京,台州,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1536.0,1536.0,10841.088,小
北京,金华,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1457.0,1457.0,14129.985999999999,小
北京,义乌,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1413.0,1413.0,9972.954,小
北京,温州,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1582.0,1582.0,15342.235999999999,大
