0,1,2,3
重庆-昆明,11466.787400000001,2648.4211999999998,route_1
长沙-侯马,3786.0004000000004,899.0328000000001,
长沙-天津,8639.7104,2876.1706000000004,route_1
长沙-长春,6030.2974,1273.4236,
长沙-常州,3695.6102,7275.3784000000005,route_1
长沙-青岛,5879.8454,1743.2052,
长沙-襄阳,2615.3334,1549.7262,
常德-杭州,1145.9962,1763.8100000000002,
衡阳-石家庄,2570.0032,2627.9006,
荆州-常州,380.44259999999997,679.2442000000001,
郑州-合肥,9737.679000000002,12816.494200000001,route_1
郑州-杭州,11192.0144,10770.4186,route_1
郑州-洛阳,7261.0262,5512.108800000001,route_1
洛阳-天津,4396.3022,1790.9626000000003,
洛阳-哈尔滨,5012.787200000001,821.7354,
洛阳-合肥,2497.513,4107.7646,
洛阳-南京,2167.8574000000003,2483.8946,
洛阳-芜湖,910.4174,1001.0704000000001,
信阳-信阳,854.6298,854.6298,
郑州-襄阳,3386.9388000000004,1789.9114000000002,
汕头-锦州,332.2216,70.5886,
汕头-济南,1903.9906,3241.9510000000005,
汕头-南充,867.4598000000001,479.58200000000005,
汕头-昆明,1661.5022,1044.5536,
湛江-湛江,432.01800000000003,432.01800000000003,
中山-汕头,3494.2398000000003,2290.2222,
昆明-中山,1611.9598,2352.255,
石家庄-唐山,3637.1946000000007,1116.6570000000002,
石家庄-泉州,2811.3784,3909.1462,
石家庄-扬州,1141.9848,2218.5130000000004,
石家庄-包头,1398.3544,64.93100000000001,
石家庄-宝鸡,1000.9390000000001,797.4588000000001,
天津-泉州,903.902,3835.9916000000003,
唐山-廊坊,343.93100000000004,572.144,
唐山-哈尔滨,696.6112,1519.6606000000002,
唐山-郑州,597.866,4228.0816,
唐山-信阳,262.29,725.162,
唐山-呼和浩特,279.2628,324.655,
唐山-锦州,191.7014,172.294,
唐山-临沂,166.24220000000003,428.66360000000003,
唐山-南昌,259.4612,1581.7008,
廊坊-呼和浩特,805.8832,217.42340000000002,
廊坊-大连,583.4592,70.4572,
廊坊-嘉兴,259.1984,336.82800000000003,
廊坊-宝鸡,146.44060000000002,180.9118,
保定-重庆,1851.1632,1265.857,
保定-蚌埠,946.6662000000001,1911.3564000000001,
保定-安庆,467.6098,1485.3902,
保定-济宁,1143.7624,700.097,
保定-台州,467.6098,1494.4096000000002,
保定-义乌,197.0962,6192.0794000000005,
长春-廊坊,689.176,1470.4578000000001,
长春-常州,545.0386,5741.6358,
长春-蚌埠,530.8946,6882.1058,
长春-泉州,485.76520000000005,2940.8388000000004,
长春-重庆,917.9146000000001,5820.3638,
长春-洛阳,499.77780000000007,3870.8024,
哈尔滨-呼和浩特,2110.2228,1429.4018,
哈尔滨-廊坊,1225.7282,2186.6078,
哈尔滨-合肥,1160.7972000000002,8787.5418,
哈尔滨-杭州,2683.8122000000003,7239.838400000001,
哈尔滨-嘉兴,807.7228,1995.3774,
哈尔滨-厦门,1169.1522000000002,2946.4964000000004,
哈尔滨-郑州,2793.7412000000004,19113.7972,
哈尔滨-信阳,948.9000000000001,3026.7614000000003,
哈尔滨-贵阳,1426.573,835.8794,
哈尔滨-兰州,1183.5590000000002,497.08040000000005,
南京-泉州,2687.831,3539.4932,
南京-衡阳,2337.8482,1601.5644000000002,
南京-东莞,3590.1562000000004,2168.916,
南京-银川,2357.5184,169.2024,
南京-西宁,738.7804,121.50700000000002,
南京-阿克苏,684.9018000000001,62.10220000000001,
南京-深圳,5852.415200000001,1926.1028000000001,
扬州-赣州,493.20040000000006,265.6444,
扬州-海口,1260.4002,42.3006,
淮安-温州,924.5614,559.1206,
淮安-汕头,484.84540000000004,109.7976,
淮安-深圳,930.219,331.3018,
淮安-东莞,735.5574,306.63100000000003,
常州-泉州,2988.016,1901.0230000000001,
常州-重庆,5327.904600000001,2068.0536,
无锡-台州,1036.5308,2443.974,
无锡-泉州,884.4326000000001,1759.8458,
苏州-鹰潭,571.7498,490.2402,
苏州-重庆,3383.5918,3927.5644,
苏州-常德,1028.3072000000002,1004.8190000000001,
徐州-烟台,3293.9826000000003,511.0930000000001,
徐州-赣州,3031.2984,907.5192000000001,
徐州-深圳,11365.8852,1619.9974000000002,route_1
徐州-内江,795.7506000000001,155.3212,
连云港-保定,672.9296,354.7206,
连云港-淮安,335.0504,645.4300000000001,
连云港-安庆,360.3782,961.2044000000001,
连云港-临沂,704.0464000000001,245.3172,
连云港-台州,464.6496,1131.991,
连云港-荆州,180.1234,115.5866,
连云港-内江,115.3238,62.10220000000001,
连云港-宝鸡,160.4532,113.02060000000002,
淮安-阿克苏,312.8142,14.0126,
淮安-泉州,386.1002,465.96360000000004,
淮安-洛阳,329.65560000000005,400.3756,
淮安-常德,225.38420000000002,110.06040000000002,
盐城-唐山,314.986,81.7724,
盐城-济宁,596.4206,335.9702,
扬州-包头,414.5196,14.0126,
扬州-淮安,402.8102,699.0458000000001,
