收寄城市,寄达城市,大件运量
廊坊,银川,0.0
廊坊,乌鲁木齐,0.0
廊坊,阿克苏,0.0
廊坊,喀什,0.0
保定,北京,26895.0
保定,天津,0.0
保定,石家庄,0.0
保定,唐山,0.0
保定,廊坊,0.0
保定,保定,0.0
保定,太原,0.0
保定,侯马,0.0
保定,呼和浩特,0.0
保定,包头,0.0
保定,沈阳,813.0
保定,大连,0.0
保定,锦州,0.0
保定,长春,0.0
保定,哈尔滨,0.0
保定,上海,788.0
保定,南京,0.0
保定,常州,0.0
保定,无锡,0.0
保定,苏州,0.0
保定,徐州,0.0
保定,连云港,0.0
保定,淮安,0.0
保定,盐城,0.0
保定,扬州,0.0
保定,南通,0.0
保定,杭州,0.0
保定,湖州,0.0
保定,嘉兴,0.0
保定,宁波,0.0
保定,台州,0.0
保定,金华,0.0
保定,义乌,0.0
保定,温州,0.0
保定,合肥,0.0
保定,蚌埠,0.0
保定,芜湖,0.0
保定,安庆,0.0
保定,福州,0.0
保定,厦门,0.0
保定,泉州,0.0
保定,南昌,0.0
保定,鹰潭,0.0
保定,赣州,0.0
保定,济南,0.0
保定,潍坊,0.0
保定,烟台,0.0
保定,青岛,0.0
保定,济宁,0.0
保定,临沂,0.0
保定,郑州,0.0
保定,漯河,0.0
保定,信阳,0.0
保定,洛阳,0.0
保定,武汉,923.0
保定,荆州,0.0
保定,襄阳,0.0
保定,长沙,0.0
保定,常德,0.0
保定,衡阳,0.0
保定,广州,991.0
保定,汕头,0.0
保定,深圳,0.0
保定,东莞,0.0
保定,湛江,0.0
保定,中山,0.0
保定,南宁,0.0
保定,柳州,0.0
保定,海口,0.0
保定,重庆,0.0
保定,成都,1394.0
保定,南充,0.0
保定,内江,0.0
保定,贵阳,0.0
保定,昆明,0.0
保定,大理州,0.0
保定,拉萨,0.0
保定,西安,1714.0
保定,宝鸡,0.0
保定,兰州,0.0
保定,西宁,0.0
保定,银川,0.0
保定,乌鲁木齐,0.0
保定,阿克苏,0.0
保定,喀什,0.0
太原,北京,19219.0
太原,天津,0.0
太原,石家庄,947.0
太原,唐山,0.0
太原,廊坊,0.0
太原,保定,0.0
太原,太原,0.0
太原,侯马,0.0
太原,呼和浩特,0.0
太原,包头,0.0
太原,沈阳,0.0
太原,大连,0.0
太原,锦州,0.0
太原,长春,0.0
太原,哈尔滨,0.0
太原,上海,800.0
太原,南京,0.0
太原,常州,0.0
太原,无锡,0.0
太原,苏州,0.0
太原,徐州,195.0
太原,连云港,0.0
太原,淮安,0.0
太原,盐城,0.0
太原,扬州,0.0
太原,南通,0.0
太原,杭州,0.0
太原,湖州,0.0
太原,嘉兴,0.0
太原,宁波,0.0
太原,台州,0.0
太原,金华,149.0
太原,义乌,60.0
太原,温州,0.0
太原,合肥,379.0
太原,蚌埠,0.0
太原,芜湖,0.0
太原,安庆,0.0
太原,福州,0.0
太原,厦门,0.0
太原,泉州,0.0
太原,南昌,0.0
太原,鹰潭,0.0
太原,赣州,0.0
太原,济南,1084.0
太原,潍坊,0.0
太原,烟台,0.0
太原,青岛,0.0
太原,济宁,0.0
太原,临沂,0.0
太原,郑州,721.0
太原,漯河,0.0
太原,信阳,0.0
太原,洛阳,0.0
太原,武汉,1120.0
太原,荆州,0.0
太原,襄阳,0.0
太原,长沙,514.0
