统计项,结果
运输成本,34886178.785
平均运距,1462.4121177763857
平均经转次数,0.8515139375974681
线路数,820.0
邮路数,4053.0
自办占比,66.37%
其中：12t车占比,1.97%
          20t车占比,7.11%
          40t车占比,57.29%
委办占比,33.63%
其中：12t车占比,6.93%
          20t车占比,5.70%
          40t车占比,21.00%
