收寄城市,寄达城市,经转次数,路线,总距离,流量_集包,流量_大件,总流量,加权距离,加权经转次数
汕头,南充,1,汕头-广州-南充,1923.0,29,221,250,0.10056658260841371,5.229671482496813e-05
汕头,昆明,1,汕头-广州-昆明,1810.0,57,419,476,0.18022703049839814,9.95729450267393e-05
湛江,武汉,0,湛江-武汉,1332.0,23,597,620,0.1727548758842067,0.0
中山,汕头,1,中山-广州-汕头,507.0,81,996,1077,0.11422418346524309,0.0002252942474659627
成都,乌鲁木齐,0,成都-乌鲁木齐,3085.0,44,1891,1935,1.2487357269191064,0.0
成都,南宁,0,成都-南宁,1228.0,67,1513,1580,0.4058727118879846,0.0
昆明,中山,1,昆明-成都-中山,2506.0,25,496,521,0.27311980236025535,0.00010898635369523357
石家庄,唐山,0,石家庄-唐山,441.0,91,1017,1108,0.1022145566859781,0.0
石家庄,泉州,0,石家庄-泉州,1834.0,68,793,861,0.33032153066208686,0.0
石家庄,扬州,1,石家庄-北京-扬州,1326.0,28,321,349,0.0968062396256392,7.30062138956555e-05
石家庄,包头,1,石家庄-北京-包头,999.0,36,388,424,0.0886065331148028,8.869522834314594e-05
石家庄,宝鸡,1,石家庄-北京-宝鸡,1582.0,25,280,305,0.10093475148078149,6.380199208646111e-05
天津,泉州,0,天津-泉州,1934.0,10,290,300,0.12137021576578602,0.0
唐山,廊坊,1,唐山-北京-廊坊,213.0,9,95,104,0.0046339073072107755,2.175543336718674e-05
唐山,沈阳,1,唐山-北京-沈阳,856.0,19,256,275,0.04924258667918999,5.752638630746494e-05
唐山,哈尔滨,1,唐山-北京-哈尔滨,1407.0,16,199,215,0.06328007087250793,4.4975174749472585e-05
唐山,郑州,0,唐山-郑州,828.0,14,170,184,0.031870036388054176,0.0
唐山,信阳,1,唐山-北京-信阳,1148.0,6,75,81,0.019451867672576544,1.6944135603289674e-05
唐山,呼和浩特,1,唐山-北京-呼和浩特,673.0,6,81,87,0.012248099798866834,1.8199256759088908e-05
唐山,锦州,1,唐山-北京-锦州,636.0,5,53,58,0.007716484865853697,1.2132837839392605e-05
唐山,临沂,1,唐山-北京-临沂,814.0,5,44,49,0.008343627070034715,1.0250156105693752e-05
唐山,南昌,1,唐山-北京-南昌,1591.0,6,74,80,0.026625303451687773,1.67349487439898e-05
北京,长春,0,北京-长春,981.0,62,1348,1410,0.2893493556521766,0.0
北京,武汉,0,北京-武汉,1153.0,57,1271,1328,0.320303571970216,0.0
北京,昆明,0,北京-昆明,2600.0,43,955,998,0.5427980625113091,0.0
廊坊,呼和浩特,1,廊坊-北京-呼和浩特,551.0,24,214,238,0.02743234635486668,4.978647251336965e-05
廊坊,大连,1,廊坊-北京-大连,880.0,16,159,175,0.03221477633218037,3.660770037747769e-05
廊坊,嘉兴,1,廊坊-北京-嘉兴,1298.0,8,68,76,0.020635865296213824,1.589820130679031e-05
廊坊,宝鸡,1,廊坊-北京-宝鸡,1310.0,5,37,42,0.011509460998678984,8.785848090594645e-06
保定,上海,0,保定-上海,1177.0,82,725,807,0.1986938372505316,0.0
保定,重庆,1,保定-北京-重庆,1996.0,56,489,545,0.2275576492835873,0.00011400683831843051
保定,蚌埠,1,保定-北京-蚌埠,1051.0,29,249,278,0.06111979817651815,5.8153946885364554e-05
保定,安庆,1,保定-北京-安庆,1353.0,15,121,136,0.038492055606050936,2.844941286478266e-05
保定,济宁,1,保定-北京-济宁,740.0,36,298,334,0.05170262414455649,6.986841100615741e-05
保定,台州,1,保定-北京-台州,1704.0,15,121,136,0.048477799521589655,2.844941286478266e-05
保定,义乌,0,保定-义乌,1343.0,7,49,56,0.01573252531422481,0.0
北京,呼和浩特,0,北京-呼和浩特,507.0,30,652,682,0.07233137708755412,0.0
北京,蚌埠,0,北京-蚌埠,883.0,15,309,324,0.05984668695081912,0.0
北京,芜湖,0,北京-芜湖,1098.0,10,219,229,0.052598362276078545,0.0
北京,南宁,0,北京-南宁,2343.0,33,765,798,0.3911195994490018,0.0
北京,保定,0,北京-保定,170.0,17,379,396,0.014082459368067417,0.0
北京,大连,0,北京-大连,836.0,17,391,408,0.07135112746487492,0.0
沈阳,唐山,1,沈阳-北京-唐山,883.0,70,568,638,0.11784625393402037,0.00013346121623331866
沈阳,杭州,0,沈阳-杭州,1884.0,77,593,670,0.26405238875704307,0.0
沈阳,苏州,0,沈阳-苏州,1719.0,79,596,675,0.24272474251712456,0.0
沈阳,淮安,1,沈阳-上海-淮安,2171.0,12,76,88,0.03996473109552204,1.840844361838878e-05
沈阳,芜湖,0,沈阳-芜湖,1680.0,21,137,158,0.05552655993255816,0.0
沈阳,泉州,0,沈阳-泉州,2589.0,26,212,238,0.12889717733711403,0.0
长春,廊坊,1,长春-沈阳-廊坊,1007.0,8,220,228,0.048028466147813524,4.769460392037093e-05
长春,常州,0,长春-常州,1919.0,7,172,179,0.07185589535636551,0.0
长春,蚌埠,0,长春-蚌埠,1741.0,7,167,174,0.06336981203514758,0.0
长春,泉州,1,长春-沈阳-泉州,2899.0,6,154,160,0.09702923281765286,3.34698974879796e-05
长春,重庆,0,长春-重庆,2765.0,11,292,303,0.17525570478713667,0.0
长春,洛阳,0,长春-洛阳,1742.0,7,156,163,0.059397771950761596,0.0
哈尔滨,呼和浩特,1,哈尔滨-沈阳-呼和浩特,1792.0,22,681,703,0.26352858486135616,0.00014705836208781038
哈尔滨,廊坊,1,哈尔滨-沈阳-廊坊,1305.0,15,389,404,0.11028749596007878,8.451149115714849e-05
哈尔滨,合肥,0,哈尔滨-合肥,2171.0,14,369,383,0.1739374091998289,0.0
哈尔滨,杭州,0,哈尔滨-杭州,2446.0,27,869,896,0.4584572678313494,0.0
哈尔滨,嘉兴,1,哈尔滨-沈阳-嘉兴,2411.0,10,256,266,0.13415697172735003,5.5643704573766086e-05
哈尔滨,厦门,1,哈尔滨-沈阳-厦门,3215.0,15,369,384,0.2582537290172506,8.032775397115103e-05
哈尔滨,郑州,0,哈尔滨-郑州,1936.0,30,899,929,0.37623177067262986,0.0
哈尔滨,信阳,1,哈尔滨-沈阳-信阳,2246.0,12,300,312,0.14658811002810426,6.526630010156021e-05
哈尔滨,贵阳,1,哈尔滨-成都-贵阳,3793.0,15,460,475,0.3768867347290978,9.936375816743944e-05
哈尔滨,成都,0,哈尔滨-成都,3154.0,33,1021,1054,0.6954032233603149,0.0
哈尔滨,兰州,1,哈尔滨-西安-兰州,2951.0,13,380,393,0.24260299576501204,8.22104357048499e-05
南京,泉州,1,南京-上海-泉州,1243.0,61,770,831,0.2160760101371952,0.00017383428007819405
南京,衡阳,1,南京-上海-衡阳,1501.0,55,664,719,0.2257584331067491,0.00015040535183660832
南京,东莞,1,南京-上海-东莞,1744.0,83,1024,1107,0.4038578240592082,0.00023156985324495886
南京,银川,1,南京-上海-银川,2260.0,56,668,724,0.34227990666082336,0.0001514512861331077
南京,西宁,1,南京-上海-西宁,2522.0,18,208,226,0.11923065256886693,4.7276230201771185e-05
南京,阿克苏,1,南京-上海-阿克苏,4990.0,19,186,205,0.2139876977208046,4.288330615647386e-05
南京,深圳,0,南京-深圳,1379.0,132,1679,1811,0.5224167776228633,0.0
扬州,赣州,1,扬州-上海-赣州,1332.0,14,133,147,0.04095962379835223,3.075046831708126e-05
扬州,海口,1,扬州-上海-海口,2326.0,31,354,385,0.18732892437162882,8.053694083045092e-05
淮安,上海,0,淮安-上海,420.0,92,1043,1135,0.09971937582824922,0.0
淮安,温州,1,淮安-上海-温州,878.0,25,253,278,0.05105916536535008,5.8153946885364554e-05
淮安,汕头,1,淮安-上海-汕头,1693.0,13,133,146,0.051706389508023885,3.054128145778138e-05
淮安,深圳,1,淮安-上海-深圳,1881.0,25,255,280,0.11017453505605684,5.85723206039643e-05
淮安,东莞,1,淮安-上海-东莞,1866.0,21,198,219,0.0854850468003301,4.5811922186672076e-05
常州,泉州,1,常州-上海-泉州,1128.0,80,820,900,0.21236649956123058,0.00018826817336988524
常州,重庆,0,常州-重庆,1527.0,141,1467,1608,0.5136407613146557,0.0
无锡,台州,1,无锡-上海-台州,523.0,34,266,300,0.032821418224149995,6.275605778996175e-05
无锡,泉州,1,无锡-上海-泉州,1086.0,29,227,256,0.058157293875113356,5.355183598076736e-05
苏州,鹰潭,1,苏州-上海-鹰潭,724.0,19,146,165,0.024989462211962767,3.4515831784478965e-05
苏州,重庆,0,苏州-重庆,1609.0,105,886,991,0.3335524217039734,0.0
苏州,常德,1,苏州-上海-常德,1249.0,32,269,301,0.07864359056692777,6.296524464926163e-05
徐州,烟台,1,徐州-上海-烟台,1515.0,55,1002,1057,0.33498242307414733,0.00022111051027996523
徐州,赣州,1,徐州-上海-赣州,1658.0,52,918,970,0.33642685833761293,0.0002029112535208763
徐州,深圳,0,徐州-深圳,1559.0,174,3504,3678,1.1994778695991875,0.0
徐州,内江,1,徐州-上海-内江,2536.0,15,237,252,0.1336854645464881,5.271508854356787e-05
连云港,保定,1,连云港-上海-保定,1655.0,24,167,191,0.0661250121589862,3.995469012627565e-05
连云港,淮安,1,连云港-上海-淮安,889.0,12,83,95,0.017666876202170733,1.9872751633487887e-05
连云港,安庆,1,连云港-上海-安庆,969.0,13,89,102,0.020675610799480798,2.1337059648586996e-05
连云港,临沂,1,连云港-上海-临沂,1067.0,24,178,202,0.04508688053233872,4.225574557857424e-05
连云港,台州,1,连云港-上海-台州,862.0,16,117,133,0.023982436671293184,2.7821852286883043e-05
连云港,荆州,1,连云港-上海-荆州,1536.0,7,43,50,0.016065550794230207,1.0459342964993625e-05
