start_trans_hub,end_trans_hub,zb_num,big_num
哈尔滨,信阳,12,300
哈尔滨,贵阳,15,460
哈尔滨,成都,33,1021
哈尔滨,兰州,13,380
南京,泉州,61,770
南京,衡阳,55,664
南京,东莞,83,1024
南京,银川,56,668
南京,西宁,18,208
南京,阿克苏,19,186
南京,深圳,132,1679
扬州,赣州,14,133
扬州,海口,31,354
淮安,上海,92,1043
淮安,温州,25,253
淮安,汕头,13,133
淮安,深圳,25,255
淮安,东莞,21,198
常州,泉州,80,820
常州,重庆,141,1467
无锡,台州,34,266
无锡,泉州,29,227
苏州,鹰潭,19,146
苏州,重庆,105,886
苏州,常德,32,269
徐州,烟台,55,1002
徐州,赣州,52,918
徐州,深圳,174,3504
徐州,内江,15,237
连云港,保定,24,167
连云港,淮安,12,83
连云港,安庆,13,89
连云港,临沂,24,178
连云港,台州,16,117
连云港,荆州,7,43
连云港,内江,5,26
连云港,宝鸡,6,39
淮安,阿克苏,9,84
淮安,泉州,11,104
淮安,洛阳,10,87
淮安,常德,7,59
盐城,唐山,14,70
盐城,济宁,25,137
盐城,成都,72,419
扬州,包头,10,117
扬州,淮安,13,104
扬州,内江,5,42
扬州,大理州,14,136
常州,宝鸡,17,166
常州,西宁,11,104
合肥,大连,74,802
合肥,连云港,34,362
合肥,淮安,23,238
合肥,潍坊,81,890
合肥,湖州,36,370
合肥,温州,97,1046
合肥,海口,61,646
安庆,临沂,37,371
安庆,荆州,15,143
蚌埠,无锡,54,541
蚌埠,嘉兴,42,413
蚌埠,重庆,118,1297
蚌埠,洛阳,69,721
蚌埠,湖州,24,226
芜湖,上海,116,1601
芜湖,南京,45,527
芜湖,徐州,35,387
芜湖,泉州,26,310
芜湖,长沙,84,1046
芜湖,深圳,57,735
芜湖,保定,21,249
芜湖,银川,33,397
芜湖,无锡,19,236
济南,太原,209,2368
济南,大连,87,996
济南,长春,203,2299
济南,上海,317,4072
济南,苏州,137,1604
济南,蚌埠,81,864
济南,杭州,159,1811
济南,金华,64,693
济南,南昌,140,1495
济南,重庆,161,1852
济南,南通,48,538
潍坊,深圳,19,284
潍坊,成都,35,548
潍坊,保定,10,157
潍坊,长沙,25,365
潍坊,洛阳,12,161
潍坊,中山,16,206
潍坊,乌鲁木齐,14,217
潍坊,临沂,12,193
潍坊,泉州,8,124
青岛,杭州,33,483
青岛,广州,66,993
青岛,贵阳,27,364
青岛,锦州,15,188
青岛,金华,14,196
济宁,上海,43,1004
济宁,合肥,17,352
济宁,温州,10,206
济宁,南昌,22,410
济宁,衡阳,10,203
济宁,武汉,35,755
济宁,东莞,17,320
济宁,兰州,27,563
临沂,长春,31,377
临沂,徐州,20,210
临沂,福州,24,274
临沂,泉州,12,127
临沂,贵阳,40,449
临沂,兰州,29,316
济宁,大连,11,209
济宁,锦州,11,199
济宁,临沂,12,245
济宁,泉州,8,170
临沂,保定,13,162
临沂,安庆,8,88
临沂,常德,8,93
济宁,银川,8,160
杭州,包头,57,128
杭州,上海,1318,3155
杭州,深圳,433,1059
湖州,保定,65,177
湖州,潍坊,51,138
湖州,嘉兴,58,152
湖州,鹰潭,33,88
湖州,泉州,88,239
湖州,衡阳,71,193
湖州,东莞,117,322
嘉兴,盐城,42,128
嘉兴,赣州,36,112
宁波,无锡,74,613
宁波,东莞,123,1058
宁波,西宁,16,113
金华,包头,56,425
金华,廊坊,91,677
金华,淮安,73,557
金华,扬州,110,845
金华,济宁,170,1309
金华,深圳,420,3286
金华,东莞,350,2750
温州,无锡,93,402
温州,唐山,51,206
温州,保定,62,264
温州,淮安,29,112
南昌,保定,52,565
南昌,深圳,174,2541
南昌,盐城,36,441
南昌,安庆,43,531
南昌,义乌,25,320
鹰潭,重庆,21,207
鹰潭,长沙,29,282
鹰潭,衡阳,11,91
鹰潭,苏州,15,129
鹰潭,湛江,8,68
福州,常州,37,480
福州,金华,42,504
福州,海口,43,623
福州,台州,31,429
福州,乌鲁木齐,28,529
福州,鹰潭,17,199
福州,襄阳,27,263
厦门,石家庄,34,984
厦门,长春,23,697
厦门,重庆,30,999
泉州,海口,50,1654
泉州,大连,11,335
泉州,淮安,6,147
泉州,济宁,17,447
泉州,湖州,10,267
厦门,湛江,24,724
厦门,海口,22,742
重庆,烟台,13,475
重庆,扬州,8,302
重庆,赣州,12,490
重庆,荆州,6,227
长沙,南通,48,733
长沙,湖州,34,453
长沙,赣州,69,1135
长沙,西宁,16,242
常德,包头,4,54
常德,南昌,14,245
常德,武汉,21,387
常德,东莞,14,248
常德,南宁,15,274
常德,兰州,6,94
衡阳,北京,44,1287
衡阳,青岛,20,483
衡阳,天津,27,703
衡阳,徐州,13,367
衡阳,合肥,22,575
衡阳,南昌,33,915
衡阳,台州,9,241
武汉,济宁,41,857
荆州,上海,44,451
荆州,泉州,11,102
荆州,郑州,25,220
荆州,东莞,26,246
荆州,成都,37,378
荆州,嘉兴,8,76
武汉,西宁,21,404
襄阳,南昌,22,443
襄阳,福州,16,330
襄阳,泉州,8,158
襄阳,湛江,6,97
襄阳,柳州,10,171
襄阳,成都,29,625
郑州,廊坊,49,864
郑州,盐城,44,774
郑州,宝鸡,26,488
洛阳,无锡,35,368
洛阳,济宁,33,318
洛阳,泉州,35,412
洛阳,昆明,64,417
洛阳,包头,16,134
洛阳,鹰潭,16,162
洛阳,淮安,10,112
洛阳,湖州,15,179
漯河,武汉,48,1267
漯河,唐山,14,323
漯河,济宁,16,381
漯河,杭州,36,902
漯河,宁波,21,536
漯河,温州,19,438
信阳,太原,43,579
信阳,长春,43,577
信阳,苏州,31,434
信阳,济南,70,965
信阳,天津,47,696
信阳,贵阳,50,619
信阳,成都,70,966
信阳,保定,18,249
信阳,常州,16,210
信阳,无锡,15,205
信阳,金华,18,226
信阳,温州,17,236
信阳,武汉,54,763
信阳,深圳,37,550
信阳,中山,29,369
洛阳,义乌,14,124
信阳,锦州,15,176
广州,上海,249,2569
广州,常州,61,605
广州,蚌埠,59,575
广州,常德,64,652
广州,郑州,198,1950
广州,西宁,57,510
广州,大连,52,516
广州,安庆,39,358
汕头,南京,19,149
汕头,无锡,12,83
汕头,苏州,24,184
汕头,烟台,12,86
汕头,临沂,17,111
汕头,衡阳,31,259
汕头,东莞,72,639
汕头,大理州,13,97
广州,鹰潭,30,310
湛江,呼和浩特,6,146
湛江,南昌,17,437
湛江,柳州,10,223
湛江,大连,5,97
湛江,无锡,6,137
湛江,芜湖,5,91
湛江,安庆,5,98
湛江,济宁,4,80
湛江,临沂,4,100
湛江,台州,5,123
中山,武汉,79,1040
中山,昆明,53,675
中山,保定,20,226
中山,烟台,14,161
中山,金华,22,268
中山,衡阳,27,355
中山,南充,27,285
中山,银川,17,193
贵阳,北京,18,422
贵阳,杭州,17,391
贵阳,宁波,12,251
贵阳,南昌,12,266
贵阳,武汉,17,391
贵阳,郑州,13,314
海口,北京,10,132
海口,南京,4,53
海口,武汉,7,114
海口,东莞,5,62
成都,哈尔滨,88,2058
成都,福州,54,1280
成都,烟台,18,418
成都,襄阳,17,379
成都,信阳,35,787
成都,深圳,68,1944
昆明,厦门,17,325
昆明,郑州,25,460
昆明,西安,28,558
昆明,临沂,6,104
昆明,温州,15,316
昆明,常德,7,141
西安,天津,64,2763
西安,汕头,54,2205
西安,深圳,116,4893
西安,侯马,59,1605
西安,漯河,29,980
