统计结果_现状_coef1,
统计项,结果
运输成本,25021186.37
平均运距,1177.963636
平均经转次数,0.468225876
线路数,1497
邮路数,3683
自办占比,10.05%
其中：12t车占比,2.06%
          20t车占比,4.56%
          40t车占比,3.42%
委办占比,89.95%
其中：12t车占比,20.45%
          20t车占比,25.39%
          40t车占比,44.12%
