收寄城市,寄达城市,运量（重量）
天津,厦门,0.0
天津,泉州,0.0
天津,南昌,0.0
天津,鹰潭,0.0
天津,赣州,0.0
天津,济南,11117.067400000002
天津,潍坊,0.0
天津,烟台,0.0
天津,青岛,0.0
天津,济宁,0.0
天津,临沂,0.0
天津,郑州,5224.2754
天津,漯河,0.0
天津,信阳,0.0
天津,洛阳,0.0
天津,武汉,0.0
天津,荆州,0.0
天津,襄阳,0.0
天津,长沙,0.0
天津,常德,0.0
天津,衡阳,0.0
天津,广州,5828.5874
天津,汕头,0.0
天津,深圳,0.0
天津,东莞,0.0
天津,湛江,0.0
天津,中山,0.0
天津,南宁,0.0
天津,柳州,0.0
天津,海口,0.0
天津,重庆,0.0
天津,成都,0.0
天津,南充,0.0
天津,内江,0.0
天津,贵阳,0.0
天津,昆明,0.0
天津,大理州,0.0
天津,拉萨,0.0
天津,西安,6450.3978
天津,宝鸡,0.0
天津,兰州,0.0
天津,西宁,0.0
天津,银川,0.0
天津,乌鲁木齐,0.0
天津,阿克苏,0.0
天津,喀什,0.0
石家庄,北京,222290.27020000003
石家庄,天津,11711.083000000002
石家庄,石家庄,0.0
石家庄,唐山,0.0
石家庄,廊坊,0.0
石家庄,保定,0.0
石家庄,太原,9410.0092
石家庄,侯马,0.0
石家庄,呼和浩特,0.0
石家庄,包头,0.0
石家庄,沈阳,0.0
石家庄,大连,0.0
石家庄,锦州,0.0
石家庄,长春,8566.826000000001
石家庄,哈尔滨,11163.872599999999
石家庄,上海,11520.9584
石家庄,南京,0.0
石家庄,常州,0.0
石家庄,无锡,0.0
石家庄,苏州,0.0
石家庄,徐州,4192.8914
石家庄,连云港,0.0
石家庄,淮安,0.0
石家庄,盐城,0.0
石家庄,扬州,0.0
石家庄,南通,0.0
石家庄,杭州,5428.4894
石家庄,湖州,0.0
石家庄,嘉兴,0.0
石家庄,宁波,0.0
石家庄,台州,0.0
石家庄,金华,0.0
石家庄,义乌,0.0
石家庄,温州,0.0
石家庄,合肥,5289.746800000001
石家庄,蚌埠,0.0
石家庄,芜湖,0.0
石家庄,安庆,0.0
石家庄,福州,0.0
石家庄,厦门,0.0
石家庄,泉州,0.0
石家庄,南昌,0.0
石家庄,鹰潭,0.0
石家庄,赣州,0.0
石家庄,济南,13910.8456
石家庄,潍坊,0.0
石家庄,烟台,0.0
石家庄,青岛,0.0
石家庄,济宁,0.0
石家庄,临沂,0.0
石家庄,郑州,11294.3916
石家庄,漯河,0.0
石家庄,信阳,0.0
石家庄,洛阳,0.0
石家庄,武汉,13197.393000000002
石家庄,荆州,0.0
石家庄,襄阳,0.0
石家庄,长沙,8409.0702
石家庄,常德,0.0
石家庄,衡阳,0.0
石家庄,广州,18767.848
石家庄,汕头,0.0
石家庄,深圳,0.0
石家庄,东莞,0.0
石家庄,湛江,0.0
石家庄,中山,0.0
石家庄,南宁,0.0
石家庄,柳州,0.0
石家庄,海口,0.0
石家庄,重庆,0.0
石家庄,成都,14409.5722
石家庄,南充,0.0
石家庄,内江,0.0
石家庄,贵阳,8916.2832
石家庄,昆明,0.0
石家庄,大理州,0.0
石家庄,拉萨,0.0
石家庄,西安,16704.988400000002
石家庄,宝鸡,0.0
石家庄,兰州,0.0
石家庄,西宁,0.0
石家庄,银川,0.0
石家庄,乌鲁木齐,0.0
石家庄,阿克苏,0.0
石家庄,喀什,0.0
唐山,北京,24592.701600000004
唐山,天津,0.0
唐山,石家庄,0.0
唐山,唐山,0.0
唐山,廊坊,0.0
唐山,保定,0.0
唐山,太原,0.0
唐山,侯马,0.0
唐山,呼和浩特,0.0
唐山,包头,0.0
唐山,沈阳,0.0
唐山,大连,0.0
唐山,锦州,0.0
唐山,长春,0.0
唐山,哈尔滨,0.0
唐山,上海,0.0
唐山,南京,0.0
唐山,常州,0.0
唐山,无锡,0.0
唐山,苏州,0.0
唐山,徐州,0.0
唐山,连云港,0.0
唐山,淮安,0.0
唐山,盐城,0.0
唐山,扬州,0.0
唐山,南通,0.0
唐山,杭州,0.0
唐山,湖州,0.0
唐山,嘉兴,0.0
唐山,宁波,0.0
唐山,台州,0.0
唐山,金华,0.0
唐山,义乌,0.0
唐山,温州,0.0
唐山,合肥,0.0
唐山,蚌埠,0.0
唐山,芜湖,0.0
