收寄城市,寄达城市,经转次数,路线,路线类型,总距离,流量_集包,流量_大件,总流量,加权距离,加权经转次数
连云港,银川,2,连云港-上海-西安-银川,,2569.0,23,154,177,0.09511998435282293,7.405214819215487e-05
连云港,昆明,2,连云港-上海-成都-昆明,,3299.0,35,243,278,0.19184987077481766,0.00011630789377072911
淮安,石家庄,2,淮安-上海-北京-石家庄,,1937.0,22,185,207,0.08387535391801758,8.660335975014722e-05
淮安,漯河,2,淮安-上海-武汉-漯河,,1627.0,12,109,121,0.041181989429788,5.0623219950569144e-05
淮安,金华,1,淮安-上海-金华,,752.0,20,201,221,0.03476518252076441,4.6230295905271826e-05
徐州,侯马,2,徐州-上海-西安-侯马,,2313.0,80,1388,1468,0.7102906337629683,0.0006141726189044257
徐州,芜湖,1,徐州-上海-芜湖,,966.0,66,1118,1184,0.23925621520307339,0.00024767724141104905
盐城,合肥,2,盐城-上海-武汉-合肥,,1523.0,55,311,366,0.11660452073721633,0.00015312478100750667
盐城,厦门,2,盐城-上海-广州-厦门,,2402.0,36,184,220,0.11054270392842462,9.20422180919439e-05
盐城,郑州,2,盐城-上海-西安-郑州,,2178.0,109,587,696,0.3171038497703651,0.0002911881081454225
扬州,北京,1,扬州-上海-北京,,1484.0,50,542,592,0.1837765131269984,0.00012383862070552452
扬州,洛阳,2,扬州-上海-西安-洛阳,,2038.0,25,259,284,0.1210756806678918,0.00011881813608232758
扬州,汕头,2,扬州-上海-广州-汕头,,2145.0,26,258,284,0.12743245094829633,0.00011881813608232758
扬州,南充,2,扬州-上海-成都-南充,,2486.0,24,228,252,0.13104971011930971,0.00010543017708713574
常州,哈尔滨,0,常州-哈尔滨,route_1,2190.0,200,2018,2218,1.0161084341003868,0.0
常州,芜湖,1,常州-上海-芜湖,,540.0,55,516,571,0.06450067619652268,0.00011944569666022719
常州,襄阳,2,常州-上海-武汉-襄阳,,1317.0,44,406,450,0.12397459216406943,0.00018826817336988524
常州,南充,2,常州-上海-成都-南充,,2386.0,69,637,706,0.352378611480384,0.00029537184533142
常州,兰州,2,常州-上海-西安-兰州,,2194.0,91,888,979,0.44931789394853794,0.0004095878705091504
南通,太原,2,南通-上海-北京-太原,,1868.0,36,781,817,0.3192517804416562,0.00034181132809599164
南通,青岛,2,南通-上海-北京-青岛,,2014.0,50,1085,1135,0.4781781498049856,0.0004748541706107106
南通,宁波,1,南通-上海-宁波,,374.0,56,1292,1348,0.10546197348974932,0.0002819838863362281
南通,武汉,1,南通-上海-武汉,,969.0,92,2065,2157,0.4372283577890204,0.000451216055509825
南通,南宁,2,南通-上海-广州-南宁,,2142.0,52,1172,1224,0.5484477812072801,0.0005120894315660878
南通,西安,1,南通-上海-西安,,1525.0,80,1777,1857,0.5924014965227914,0.00038845999771986323
合肥,北京,1,合肥-武汉-北京,,1535.0,261,2750,3011,0.9668376071951912,0.0006298616333519161
合肥,芜湖,2,合肥-武汉-上海-芜湖,,1563.0,120,1205,1325,0.43322075593855347,0.0005543451771446621
合肥,福州,0,合肥-福州,route_1,873.0,226,2412,2638,0.48175189810926455,0.0
安庆,侯马,2,安庆-武汉-西安-侯马,,1408.0,63,565,628,0.18496804147757046,0.00026273869528063986
安庆,宁波,2,安庆-武汉-上海-宁波,,1402.0,78,808,886,0.25984605939024125,0.0003706791146793741
安庆,南昌,1,安庆-武汉-南昌,,697.0,128,1233,1361,0.19843821090846714,0.0002847033155071265
安庆,汕头,2,安庆-武汉-广州-汕头,,1752.0,87,861,948,0.347437617863721,0.0003966182852325583
安庆,南宁,2,安庆-武汉-广州-南宁,,1890.0,138,1378,1516,0.5993705567403667,0.0006342545573972135
安庆,兰州,2,安庆-武汉-西安-兰州,,1715.0,72,686,758,0.2719366414840553,0.00031712727869860673
蚌埠,沈阳,1,蚌埠-武汉-沈阳,,2274.0,219,2340,2559,1.2172930592846019,0.0005353091729483737
蚌埠,漯河,1,蚌埠-武汉-漯河,,853.0,96,979,1075,0.19181912030650058,0.00022487587374736293
蚌埠,西安,1,蚌埠-武汉-西安,,1217.0,245,2553,2798,0.7123159809347096,0.0005853048323210433
济南,郑州,0,济南-郑州,route_1,447.0,298,3472,3770,0.35251960342355215,0.0
济南,乌鲁木齐,2,济南-北京-西安-乌鲁木齐,,4116.0,91,1071,1162,1.0004972371645557,0.0004861502610129037
潍坊,郑州,2,潍坊-北京-西安-郑州,,2083.0,35,511,546,0.2379119804452124,0.00022843205035546078
临沂,信阳,2,临沂-上海-武汉-信阳,,1639.0,25,260,285,0.09771431978185995,0.00011923650980092732
